Epoch: 0, BLUE:1: 0.00015800908199063926, BLUE_2: 0.0, BLUE_3: 0.0, BLUE_4: 0.0
Epoch: 1, BLUE:1: 0.37902711438809383, BLUE_2: 0.2684630010854258, BLUE_3: 0.06980871657064468, BLUE_4: 0.012551514830262959
Epoch: 2, BLUE:1: 0.38210536130273, BLUE_2: 0.2702132698507921, BLUE_3: 0.07435334081968112, BLUE_4: 0.012500970627882253
Epoch: 3, BLUE:1: 0.3883669883005046, BLUE_2: 0.27644405500941627, BLUE_3: 0.08622779868029569, BLUE_4: 0.013751604061028525
Epoch: 1, BLUE:1: 0.6096477766294837, BLUE_2: 0.4709498731781083, BLUE_3: 0.25915684813823764, BLUE_4: 0.08789227265771166
Epoch: 2, BLUE:1: 0.6123830661501014, BLUE_2: 0.4734703846637814, BLUE_3: 0.2620114595946583, BLUE_4: 0.09381760609228221
Epoch: 3, BLUE:1: 0.604402133279283, BLUE_2: 0.4707155267537117, BLUE_3: 0.2571019012235957, BLUE_4: 0.10931338321725866
Epoch: 4, BLUE:1: 0.6299644883167651, BLUE_2: 0.48924850049418894, BLUE_3: 0.2824474089311183, BLUE_4: 0.14928901184415738
Epoch: 5, BLUE:1: 0.609615041729583, BLUE_2: 0.47162912944366714, BLUE_3: 0.26602101238926756, BLUE_4: 0.11189650749791735
Epoch: 6, BLUE:1: 0.6215557101010282, BLUE_2: 0.4850711432395423, BLUE_3: 0.2774549126650814, BLUE_4: 0.13892584874101738
Epoch: 7, BLUE:1: 0.6081483782135332, BLUE_2: 0.47029481972371834, BLUE_3: 0.26008210182793284, BLUE_4: 0.10230784843036209
Epoch: 8, BLUE:1: 0.6081808806145381, BLUE_2: 0.4693446994400262, BLUE_3: 0.2610351878416831, BLUE_4: 0.10907639828923543
Epoch: 9, BLUE:1: 0.6075908468253344, BLUE_2: 0.4723246070846427, BLUE_3: 0.2686511623483124, BLUE_4: 0.1166543737635143
Epoch: 10, BLUE:1: 0.6153144890656973, BLUE_2: 0.4785981686444044, BLUE_3: 0.27519025029542826, BLUE_4: 0.13532618395049723
Epoch: 11, BLUE:1: 0.6033189657189132, BLUE_2: 0.4630021139796887, BLUE_3: 0.26075739654433333, BLUE_4: 0.0976900304434959
Epoch: 12, BLUE:1: 0.6097189061656012, BLUE_2: 0.4728070648555202, BLUE_3: 0.26657837955051206, BLUE_4: 0.11265570899784719
Epoch: 13, BLUE:1: 0.6086777512402772, BLUE_2: 0.474162959423613, BLUE_3: 0.2682046469458444, BLUE_4: 0.12236386047223329
Epoch: 14, BLUE:1: 0.6102616958251713, BLUE_2: 0.47421702332136134, BLUE_3: 0.270245215198297, BLUE_4: 0.11948314299481366
Epoch: 15, BLUE:1: 0.6076878375829416, BLUE_2: 0.46778078136534096, BLUE_3: 0.26657483563542295, BLUE_4: 0.11555021206248473
Epoch: 16, BLUE:1: 0.6092139647209639, BLUE_2: 0.4722424014503662, BLUE_3: 0.26827854837036913, BLUE_4: 0.12334456116640942
Epoch: 17, BLUE:1: 0.6111381441894084, BLUE_2: 0.47641512282331033, BLUE_3: 0.2678067390726956, BLUE_4: 0.12378500563331844
Epoch: 18, BLUE:1: 0.5988859980890084, BLUE_2: 0.4596346364553952, BLUE_3: 0.25861060932542046, BLUE_4: 0.10854105442488662
Epoch: 19, BLUE:1: 0.6086738544632888, BLUE_2: 0.4736934428555961, BLUE_3: 0.2659603489160761, BLUE_4: 0.1154017773282674
